What is the distance in miles from the earth to the moon?,238900
How tall is the space needle in feet?,605
How tall is the columbia tower to the tip in feet?,997
What is the distance in miles between Los Angeles and Las Vegas?,225
What is the distance in miles between Los Angeles and Washington DC?,2299
What was the population of Costa Rica in 2019?,4906000
What was the population of Oklahoma City in 2017?,643648
What was the population of Orlando FL in 2017?,280257
What was the population of Las Vegas NV in 2017?,641676
What was the population of Myrtle Beach SC in 2017?,32795
What was the population of Paris France in 2019?,2141000
How many square miles is Venice Italy?,160
What was the population of Vancouver BC in 2017?,775218
How many square miles is Alaska?,663300
What was the population of Coeur d'Alene Idaho in 2017?,50665
What was the population of Spokane Washington in 2017?,217108
What was the population of Yakima Washington in 2017?,93667
What was the population of Bellevue Washington in 2017?,144444
What was the area of Lake Washington in square miles?,34
What was the population of Chelan Washington in 2017?,4146
How many manufacturing jobs were created in 2018?,284000
What was the population of the United States in 1900?,76212168
What was the population of the United States in 1800?,5308483
What was the population of the United States in 1850?,23191876
How many Queens has England had as of 2019?,8
In what year was the polio vaccine invented?,1955
In what year was the telephone invented?,1876
In what year was the television invented?,1927
In what year was the first iPhone released?,2007
In what year was the first cell phone released?,1983
In what year was the C programming language invented?,1972
In what year was the printing press invented?,1440
In what year was the first 3d printer invented?,1983
In what year did Washington become a state?,1889
In what year was the first Barbie doll made?,1959
In what year was the first world series played?,1903
How many employees did Expedia have as of 2017?,22000
In what year was Expedia founded?,1996
In what year was the first commercial airline flight?,1914
In what year did the first hotel open in Las Vegas?,1906
In what year was the city of San Francisco founded?,1776
In what year did the Titanic sink?,1912
In what year was the Roman republic founded?,510
What is the distance from Cancun Mexico to Miami Florida by plane in miles?,528
What is the distance from New York to Chicago by plane in miles?,733
What is the distance from Chicago to Dallas by plane in miles?,793
In what year was the first Olympics held?,776
What is the population of Portland Oregon as of 2017?,647805
In what year was golf invented?,1457
How many meters tall is the Burj Khalifa?,828
What was the population of New York City in 2010?,8175133
What was the population of Los Angeles California in 2010?,3792621
What was the population of Chicago Illinois in 2010?,2695598
What was the population of Houston Texas in 2010?,2100263
What was the population of Phoenix Arizona in 2010?,1445632
What was the population of Philadelphia Pennsylvania in 2010?,1526006
What was the population of San Antonio Texas in 200?,1327407	
What was the population of San Diego California in 2010?,1307402
What was the population of Dallas Texas in 2010?,1197816
What was the population of San Jose California in 2010?,945942
What was the ppulation of Austin Texas in 2010?,790390
What was the population of Fort Worth Texas in 2010?,741206
What was the ppulation of Jacksonville Florida in 2010?,821784
What was the population of Columbus Ohio in 2010?,787033
What was the population of Charlotte North Carolina in 2010?,731424
What was the population of Indianapolis Indiana in 2010?,820445
What was the population of San Francisco California in 2010?,805235
What was the population of Seattle Washington in 2010?,608660
What was the population of Denver Colorado in 2010?,600158
What was the population of Washington DC in 2010?,601723
What was the population of Boston Massachusetts in 2010?,617594
What was the population of El Paso Texas in 2010?,649121
What was the population of Nashville Tennessee in 2010?,601222	
What was the population of Detroit Michigan in 2010?,713777
What was the population of Las Vegas Nevada in 2010?,583756
What was the population of Oklahoma City Oklahoma in 2010?,579999
What was the population of Portland Oregon in 2010?,583776
What was the population of Memphis Tennessee in 2010?,646889	
What was the land area of Juneau Alaska in square miles in 2010?,2701.9
What was the land area of Anchorage Alaska in square miles in 2010?,1704.7	
What was the land area of Butte Montana in square miles in 2010?,716.2
What was the land area of Oklahoma City Oklahoma in square miles in 2010?,606.4
What was the land area of Houston Texas in square miles in 2010?,599.6
What was the land area of Phoenix Arizona in square miles in 2010?,516.7
What was the land area of Los Angeles California in square miles in 2010?,468.7
What was the land area of San Antonio Texas in square miles in 2010?,460.9
What was the land area of Dallas Texas in square miles in 2010?,340.5
What was the land area of New York City in square miles in 2010?,302.6
What was the land area of Wichita Kansas in square miles in 2010?,159.3
What was the land area of Denver Colorado in square miles in 2010?,153.0	
What was the land area of Las Vegas Nevada in square miles in 2010?,135.8
What was the land area of Portland Oregon in square miles in 2010?,133.4
What was the land area of Atlanta Georgia in square miles in 2010?,133.2
What was the land area of Seattle Washington in square miles in 2010?,83.9
What was the population of the state of California in 2000?,33871648
What was the population of the state of Texas in 2000?,20851820
What was the population of the state of New York in 2000?,18976457
What was the population of the state of Florida in 2000?,15982378
What was the population of the state of Wyoming in 2000?,493782
What was the population of the state of Arizona in 2000?,5130632
